Id,Section,Name,Price,Total Sold,Total Reviews,Shop Location,Revenue,Review Rate,Price Segment,Location Type
4771562635,Acne Care,💜🤍New Nucera plus นูเซร่า พลัส สูตรใหม่เข้มข้นกว่าเดิม มาพร้อมเซราไมด์บริสุทธิ์ 100% ที่ทำให้วิตามินอยู่ร่ายกายได้นานขึ้น🤍💜,800.0,0,0,Chonburi,0.0,0.0,Premium,Rural
4771509723,Acne Care,พร้อมส่ง!!นูเซร่าสูตรใหม่💜 Nucera Plus สูตรพิเศษ Ricera bossom (30 แคปซูล) พร้อมส่ง ของแท้ 100%มีของแถมทุกออเดอร์,800.0,7,2,Chonburi,5600.0,0.25,Premium,Rural
4771176339,Acne Care,New Nucera Plus (นูเซร่า พลัส) แถมฟรี Nucera Drink ปรับสูตรใหม่ พรี่เมี่ยมและเข้มข้นกว่าเดิม 1 กระปุก 30 แคปซูล,3790.0,6,1,Chonburi,22740.0,0.14285714285714285,Luxury,Rural
4770141595,Acne Care,Pharma Nord Bio Zinc 15 mg 90 tablets  ฟาร์มา นอร์ด ไบโอ ซิงค์ บำรุงผิว ผม เล็บ ขนาด 90 เม็ด  สินค้าใหม่ ส่งด่วน รับประกัน ของแท้,329.0,0,0,Bangkok,0.0,0.0,Mid-Range,Bangkok
4769667994,Acne Care,[ซื้อ 2 แถม 1] Dii Acne Solution สูตรดูแลปัญหาสิวรุนแรง (30 แคปซูล),2580.0,0,0,Samut Prakan,0.0,0.0,Luxury,Rural
4768028372,Acne Care,PAN PLUS,290.0,0,0,Roi Et,0.0,0.0,Mid-Range,Rural
4767562720,Acne Care,✅ ร้านน้ำมลมินิของเเท้💯%  วิตามิน ซิงค์1กระปุก  ร้านดังในTikTok ✅ มีบัตรตัวเเทน ผลิตภัณฑ์ Shining ✅ อาโมนิซิงค์,290.0,0,0,Nonthaburi,0.0,0.0,Mid-Range,Rural
4765443299,Acne Care,THP Zinccap ซิงค์แคป ชนิดแคปซูลนิ่ม ลดการเกิดสิว บำรุงผม เล็บ ความมันบนใบหน้าน้อยลง ขนาด 30 แคปซูล,179.0,0,1,Bangkok,0.0,1.0,Budget,Bangkok
4763300553,Acne Care,อากาเนะ ไลโค บริ้ง Akane Lyco Brink เสกผิวใส ลดสิว ผิวขาวภายใน 7 วัน,360.0,0,0,Bangkok,0.0,0.0,Mid-Range,Bangkok
4762459206,Acne Care,Malinest L-Gluta มาลิเนส คอลลาเจน แอลกลูต้า 1 ซอง 15 เม็ด,99.0,0,0,Bangkok,0.0,0.0,Budget,Bangkok
4762326599,Acne Care,อาหารเสริมเพื่อผิวขาว สารสกัดจากเมล็ดองุ่น วิตามินซี วิตามินอี จุดดำสิว จุดแดงสิว กรตุ้นกลูต้า คอลลาเจน Grape Seed,580.0,0,0,Samut Prakan,0.0,0.0,Premium,Rural
4761225299,Acne Care,Vista gotu kola extract plus zinc วิสทรา ซิงค์,189.0,0,0,Bangkok,0.0,0.0,Budget,Bangkok
4761209126,Acne Care,Vistra Gotu Kola Extract Plus Zinc วิสทรา ซิงค์,189.0,18,2,Bangkok,3402.0,0.10526315789473684,Budget,Bangkok
4761092704,Acne Care,Vistra Gotu Kola Extract Plus Zinc วิสทรา โกตุ โคลา ซิงค์ ขนาด 30 แคปซูล,189.0,0,1,Bangkok,0.0,1.0,Budget,Bangkok
4760484081,Acne Care,Dr.Pong ProAC ACTRISAVE™ ดอกเตอร์พงศ์ โปรแอค,629.0,0,0,Songkhla,0.0,0.0,Premium,Rural
4759906996,Acne Care,⚡️แพ็กเก็จใหม⚡️คอลลาเจน #ไซโกโนะ  Saikono collagen (1กล่องมี10ซอง) ของแท้,165.95,0,0,Nakhon Si Thammarat,0.0,0.0,Budget,Rural
4759039386,Acne Care,KATHY Collagen/Acerola Cherry แคทตี้อะเซโรล่าเชอรี่ ผิวใส ช่วยลดสิว,390.0,0,0,Bangkok,0.0,0.0,Mid-Range,Bangkok
4723081149,Acne Care,🥝พร้อมส่ง ฟรี !!🥝 TRUVITAR Kiwi Plus Acne Solution ผลิตภัณฑ์เสริมอาหารสารสกัดจากกีวี่ สำหรับผู้ที่มีปัญหาสิวอักเสบเรื้อรัง (30 แคปซูล),235.0,5,5,Saraburi,1175.0,0.8333333333333334,Mid-Range,Rural
1622366190,Acne Care,Blackmores Bio Zinc A Chelate แบลคมอร์ส ไบโอ ซิงค์ เอ คีเลต [90 เม็ด],346.0,4819,952,Pathum Thani,1667374.0,0.1975103734439834,Mid-Range,Rural
4738129276,Acne Care,ตามินผิวขาว สิว ฝ้า กระ อาหารเสริมเพื่อผิวขาว สารสกัดจากเมล็ดองุ่น grape seed วิตามินซี วิตามินอี อาหารเสริมเพื่อผิวสวย กลูต้า คอลลาเจน,380.0,0,4,Samut Prakan,0.0,4.0,Mid-Range,Rural
2595904691,Acne Care,🔥ส่งฟรี! ส่งไว🔥 แอลแซด ซิงค์ LZ Zinc  หน้ามัน ฟื้นฟูผิว เคลียร์จบเรื่องสิวๆ (ซื้อ 1 แถม 1) รับสินค้า 1-2 วัน,279.0,152,60,Saraburi,42408.0,0.39215686274509803,Mid-Range,Rural
2961837360,Acne Care,1 แถม 1ส่งฟรี❤️‍🔥 แถมสครับ 1:1 amoni zinc อาโมนิซิงค์ (shining) ลดสิว ลดรอย สร้างภูมิ,109.0,271,61,Phra Nakhon Si Ayutthaya,29539.0,0.22426470588235295,Budget,Rural
4308865983,Acne Care,ซิงก์ แอนด์ คอลลาเจน ซิงก์แคปซูล ซิงก์ แอนด์ คอลลาเจน กิฟฟารีน ZINC & COLLAGEN GIFFARINE,390.0,25,7,Chiang Mai,9750.0,0.2692307692307692,Mid-Range,Rural
4256468704,Acne Care,Colla Ac By Dr Awie วิตามินสิว,549.0,6,1,Nonthaburi,3294.0,0.14285714285714285,Premium,Rural
4190006442,Acne Care,Irina ไอริน่า 🍒 (2 ชิ้นลดอีก) คอลลาเจนลดสิว ✨กู้ผิวข้ามคืน คอลลาเจนรสชาติดี,290.0,13,3,Bangkok,3770.0,0.21428571428571427,Mid-Range,Bangkok
4711088528,Acne Care,วิตามินดีพราว Deproud Bio Multi C ดีพราวด์วิตามินซีสด Deproud Bio Vitaminc,89.0,0,0,Kanchanaburi,0.0,0.0,Budget,Rural
1057938081,Acne Care,70% OFF ราคา Sale!!! โปรดอ่าน EXP: 12/2023 คีเลต ซิงค์ Chelated Zinc (Gluconate) 50 mg 250 Tablets (PipingRock®) สังกะสี Piping Rock,350.0,12,0,Chiang Mai,4200.0,0.0,Mid-Range,Rural
4716729370,Acne Care,1 แถม 1 กลูต้าส้มเลือด ของแท้ glutawithme กลูต้าวิทมี WITH ME  ส้มเลือดสามสายพันธุ์ ตัวช่วยลดสิว ผิวขาว,250.0,0,0,Songkhla,0.0,0.0,Mid-Range,Rural
